# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 4.603538039996161,6.634680493288927,2.0375132493544608,107.14099395118156,1.3162716557333412,0.6783356836699092,1.7315306996779776,116.31151614929577,130.57474428529483,123.70578446402538
 4.6122190309300946,6.63108891901994,2.048389393832644,108.27451212252288,1.3225554348771034,0.7238550519848338,1.7151159496569053,117.38540494270309,129.95753291695416,123.16286960746629
 4.620902759385945,6.627263932620512,2.0592491995057607,109.40302804916591,1.3292378952075512,0.76953814993443,1.697914536756123,118.4549178582176,129.3073375915603,122.6068811263192
 4.629588798369653,6.6232047746838285,2.0700907966433864,110.52619662436574,1.3363202098652043,0.8153675882570496,1.6799647982784431,119.51988600735172,128.625115212803,122.03779008934822
 4.638276723734094,6.618910685803073,2.0809123155150977,111.64368202532714,1.3438033483136913,0.8613262815441926,1.661306701539839,120.58014121928923,127.91188228180089,121.45555350594535
 4.646966115183785,6.614380906571432,2.091711886390469,112.75515844154052,1.3516880800167907,0.907397456858706,1.641981602683756,121.63551606744129,127.16870972394672,120.86011529357627
 4.6556565572365045,6.6096146775820905,2.1024876395390786,113.86031074431554,1.359974978758441,0.9535646968680163,1.6220320019879169,122.68584389588507,126.39671749521762,120.25140729632464
 4.664347640137681,6.604611239428232,2.1132377052305005,114.95883509450316,1.3686644273462145,0.9998119551473271,1.6015012988363813,123.73095884568066,125.59706905520915,119.62935033607671
 4.673038960724649,6.599369832703044,2.123960213734312,116.05043948644551,1.3777566226791866,1.0461235714403796,1.580433548792245,124.7706958810622,124.77096576558188,118.99385529682043
 4.681730123237678,6.59388969799971,2.1346532953200885,117.13484422682178,1.3872515813178627,1.0924843051136244,1.5588732247152135,125.80489081549872,123.91964122892796,118.34482423164606
 4.690420740075382,6.588170075911416,2.145315080257406,118.21178234740806,1.39714914530286,1.138879341919381,1.536864984619666,126.83338033762132,123.04435564626327,117.68215147840067
 4.699110432492997,6.582210207031346,2.1559436988158414,119.28099995169778,1.4074489882623886,1.185294307845607,1.5144534480573126,127.85600203701185,122.14639023770596,117.00572478281788
 4.707798831242071,6.576009331952686,2.1665372812649695,120.34225649584292,1.4181506218460984,1.231715289868676,1.4916829826230196,128.87259442984933,121.22704174805678,116.31542641941519
 4.7164855771507135,6.56956669126862,2.177093957874367,121.39532500476476,1.429253402318731,1.278128840120184,1.4685975023978097,129.88299698441025,120.287617101584,115.6111343014249
 4.725170321644183,6.562881525572333,2.18761185891361,122.43999222502023,1.440756537365325,1.324521988556415,1.4452402794133512,130.88705014641826,119.32942822420252,114.89272307359123
 4.7338527272059565,6.555953075457012,2.1980891146522743,123.47605871631737,1.452659092989875,1.3708822445421487,1.4216537693442324,131.88459536423977,118.35378708268108,114.16006518405463
 4.742532467779718,6.548780581515841,2.208523855359936,124.50333888411714,1.4649600006100265,1.4171976127187274,1.397879451938492,132.87547511392097,117.36200094287511,113.4130319271254
 4.75120922911323,6.541363284342005,2.2189142113061706,125.52166095592196,1.4776580641070494,1.4634565835040676,1.3739576871530366,133.8595329240627,116.35536790217171,112.65149445264643
 4.7598827090454225,6.533700424528687,2.229258312760555,126.53086690442429,1.4907519670228133,1.5096481479325443,1.3499275868711016,134.8366134005292,115.33517268644354,111.87532473821825
 4.768552617738219,6.525791242669075,2.239554289992664,127.53081232068374,1.5042402796607248,1.555761786639989,1.3258269027209746,135.80656225098656,114.30268274825299,111.0843965179932
 4.777218677855176,6.5176349793563535,2.2498002732720757,128.52136624090946,1.5181214662123927,1.6017874748535135,1.3016919296125136,136.76922630926728,113.25914466906183,110.27858617099339
 4.785880624688703,6.509230875183707,2.2599943928683635,129.5024109304437,1.5323938918856408,1.6477156865018006,1.2775574247338748,137.72445355955702,112.2057808594963,109.45777355794264
 4.79453820623855,6.500578170744322,2.270134779051106,130.473841628599,1.54705582979463,1.6935373723680258,1.253456541943588,138.67209316039956,111.14378659726323,108.62184280995476
 4.803191183243935,6.49167610663138,2.2802195620898775,131.43556625831656,1.5621054679330442,1.739243976847289,1.2294207803961263,139.61199546851665,110.07432735357104,107.77068306745379
 4.811839329171878,6.482523923438069,2.2902468722542544,132.38750510419038,1.577540915879024,1.784827415562751,1.2054799472815139,140.54401206243807,108.99853645565324,106.90418916434105
 4.820482430164683,6.4731208617575735,2.3002148398138127,133.3295904628445,1.5933602114196925,1.8302800758475894,1.181662133544977,141.46799576593935,107.917513040233,106.022262262258
 4.829120284949161,6.463466162183079,2.3101215950381286,134.26176626918803,1.6095613270343403,1.8755948113136345,1.1579937018146487,142.3838006712826,106.8323203104186,105.1248104309468
 4.837752704710529,6.453559065307769,2.319965268196778,135.18398770218857,1.626142176152982,1.9207649276791676,1.1344992857273408,143.29128216225683,105.7439840798345,104.21174917444047
 4.846379512933978,6.443398811724831,2.3297439895593373,136.09622077362872,1.6431006192264528,1.9657841734995194,1.1112017996226156,144.19029693701486,104.65349159832817,103.28300190752326
 4.855000545216564,6.4329846420274475,2.3394558893953823,136.9984419031832,1.6604344696689068,2.0106467386125035,1.0881224575428066,145.08070303070198,103.56179063066695,102.33850038028908
 4.863615649052323,6.422315796808804,2.349099097974489,137.89063748288362,1.6781414994919606,2.0553472320966,1.065280800804393,145.96235983787412,102.46978879031634,101.37818505132
 4.8722246835934815,6.411391516662087,2.358671745566233,138.7728034340047,1.6962194447778427,2.099880677613012,1.0426947329564247,146.8351281347009,101.3783531086392,100.40200541469945
 4.88082751939026,6.400211042180482,2.36817196244019,139.64494475914609,1.7146660109465044,2.1442425037997848,1.020380561243948,147.69887010095078,100.28830980944228,99.40992027907025
 4.889424038111981,6.388773613957171,2.377597878865938,140.5070750919927,1.7334788777430166,2.1884285261867005,0.9983530437458543,148.5534493417546,99.2004442972408,98.40189800164434
 4.898014132251982,6.377078472585342,2.386947625113051,141.35921624723596,1.7526557040475725,2.2324349409927695,0.9766254411792331,149.39873090914352,98.11550131965727,97.37791667971364
 4.9065977048186955,6.365124858658179,2.3962193314511055,142.20139777273272,1.7721941324205532,2.276258308661493,0.9552095726454455,150.23458132335924,97.03418529870393,96.33796430088867
